project_name,observation_type,observation_type_other,observation_details,classification,risk_rating,close_out_details,status,inspected_by,created_at,updated_at,source_report_group,source_created_by,source_modified_by
NURSERY,Excavation / Edge Protection,,2m deep manhole witout barricading ,Unsafe Condition,Medium,Barricading of excavation provided ,Closed,25535,2026-02-07 05:38:07,2026-02-07 05:38:10,FF-HSE-0501,Amjad Musa,Amjad Musa
NURSERY,Environmental,,Painting for water proofing wihtout chemical spill collection,Unsafe Condition,Medium,The plastic sheet was placed on ground to avoid mixing of chemical with soil,Closed,25535,2026-02-07 05:40:30,2026-02-07 05:40:35,FF-HSE-0501,Amjad Musa,Amjad Musa
NURSERY,Others,Sharp Rebars,Unproected rebars found insdie the trench ,Unsafe Condition,High,Rebar caps provided ,Closed,25535,2026-02-07 05:42:26,2026-02-07 05:42:32,FF-HSE-0501,Amjad Musa,Amjad Musa
NURSERY,Others,Traffic Management ,Main access was closed by civil obstructions ,Unsafe Condition,High,The access was cleared by removing the obstructions,Closed,25535,2026-02-07 05:46:33,2026-02-07 05:46:44,FF-HSE-0501,Amjad Musa,Amjad Musa
NURSERY,Good Practice,,"Insepection of equipments TUV at site, daily checklist was updated by the operator ",Good Practice,Good Practice,,Good Practice,25535,2026-02-07 05:48:10,2026-02-07 05:48:15,FF-HSE-0501,Amjad Musa,Amjad Musa
NURSERY,Tools and Machines,,Found a backhoe without side mirror ,Unsafe Condition,Medium,Mirror was Installed,Closed,25535,2026-02-07 05:49:18,2026-07-17 23:55:28,FF-HSE-0501,Amjad Musa,Rasha Alsouki
CEER,Environmental,,"Observation Open:

A chemical spillage was observed across the area creating multiple hazards including a high risk of fire, slip and fall hazards, and potential exposure to harmful chemical and biological substances.",Unsafe Condition,Medium,Close Out:  Immediate corrective action was taken by assigning the workers and the entire spillage area was properly cleaned  to mitigate the associated hazards.,Closed,25045,2026-02-07 06:42:33,2026-02-07 06:42:37,FF-HSE-0501,Abdelrahman Mohamed Mahmoud,Abdelrahman Mohamed Mahmoud
CEER,Tools and Machines,,"Observation Open:

During hot work activity, a damaged welding cable with exposed conductor was observed connected to the welding machine, creating a serious electrical and fire hazard.",Unsafe Act&Unsafe Condition,High,"Close Out:  The damaged cable was immediately removed and replaced with a new, properly insulated cable. Workers were strictly instructed to inspect all welding cables before use to ensure safe operation.",Closed,25045,2026-02-07 06:47:12,2026-02-07 06:47:15,FF-HSE-0501,Abdelrahman Mohamed Mahmoud,Abdelrahman Mohamed Mahmoud
Oceanarium,Mobile equipment personnel Interference MEPI,,The mechanical team member was found standing on the scissor lift side tire position area in order to level the lift,Unsafe Act,High,The mechanical team member’s unsafe practice was immediately stopped. The team member was briefed on that standing on the lift structure is strictly prohibited,Closed,26257,2026-02-07 06:51:51,2026-02-07 06:51:52,FF-HSE-0501,Najmudheen Vayalilakath,Najmudheen Vayalilakath
ROSEWOOD,LOTO,,"At all energized villas, unprotected wires were temporarily secured and insulated using proper insulation tape to eliminate the immediate risk of electric shock and short circuit.",Good Practice,Good Practice,,Good Practice,25821,2026-02-16 06:22:54,2026-02-16 06:22:56,FF-HSE-0501,Hamza Asi,Hamza Asi
MISK,Housekeeping,,"Poor housekeeping observed on the ground floor poses the risk of slip, trip and potential fire hazards. ",Unsafe Condition,Medium,The responsible supervisor instructed to ensure immediate disposal of the generated waste to prevent of the potential hazard. ,Closed,10223,2026-02-16 06:24:08,2026-02-16 06:24:09,FF-HSE-0501,Asim Khan,Asim Khan
Oceanarium,Fall Protection,,An electrical team member was found working on aluminium mobile scaffolding with a safety harness improperly tied off to an incorrect anchorage point.,Unsafe Act,High,"Work was immediately stopped, the worker was briefed on the proper use of the safety harness and the harness was properly secured to an approved anchorage point prior to resuming work.",Closed,11967,2026-02-16 06:53:24,2026-02-16 06:53:26,FF-HSE-0501,Najmudheen Vayalilakath,Najmudheen Vayalilakath
Oceanarium,Documentation,,The scissor lift was found operating in the Zone 04 basement area without the operator completing the required daily inspection checklist.,Unsafe Act,Medium,"The scissor lift operation was immediately stopped, the operator completed the required daily inspection checklist and a briefing was conducted on mandatory pre use inspection procedures before work resumed.",Closed,25411,2026-02-16 06:58:52,2026-02-16 06:58:54,FF-HSE-0501,Najmudheen Vayalilakath,Najmudheen Vayalilakath
Al-Madinah,PPE,,A worker was found working without safety gloves.,Unsafe Act,Low,"Strict instruction was given to him,with TBT about the importance of PPE ",Closed,26121,2026-02-16 08:55:58,2026-02-16 08:56:17,FF-HSE-0501,Mohamad Tabikh,Mohamad Tabikh
Al-Madinah,PPE,,A worker was found working without safety goggles and gloves,Unsafe Act,Low,"Strict instructions were given to the worker, and a TBT was conducted with him about the importance of PPE.",Closed,26121,2026-02-16 09:03:15,2026-02-16 09:03:37,FF-HSE-0501,Mohamad Tabikh,Mohamad Tabikh
Al-Madinah,Excavation / Edge Protection,, The barriers were found empty of water,Unsafe Condition,Medium,The Barriers were filled with water,Closed,26121,2026-02-16 09:09:03,2026-02-16 09:09:16,FF-HSE-0501,Mohamad Tabikh,Mohamad Tabikh
KSP,Barricades and Signs,,It was observed at Medium Theatre that scissor lift was operating in non explosion zone.,Unsafe Condition,Low,Provided the barrication with traffic cones.,Closed,25762,2026-02-16 21:51:52,2026-02-16 21:51:54,FF-HSE-0501,Muhammad Saleem,Muhammad Saleem
KSP,Others,Hot Work,It has been observed that there were no fire extinguisher in the premises of the hot work area which significantly increases the risk of inability to control fire in case of emergency therefore to avoid any potential hazards needed to provide sufficient numbers of fire extinguishers must be provided immediately,Unsafe Act&Unsafe Condition,Low,Fire extangusher and fire blanket has been provided,Closed,24911,2026-02-16 22:24:21,2026-02-16 22:24:23,FF-HSE-0501,Ali Elzekaity,Ali Elzekaity
KSP,Excavation / Edge Protection,,Found ExcavationWithout Barrication,Unsafe Condition,Low,Hard Barrrication has been install,Closed,20493,2026-02-16 22:30:54,2026-02-16 22:31:01,FF-HSE-0501,Ali Elzekaity,Ali Elzekaity
WELLNESS,Fall Protection,,Open manhole was found beside the villa without barricade ,Unsafe Condition,Medium,Covered,Closed,25239,2026-02-16 22:33:39,2026-02-16 22:33:47,FF-HSE-0501,Mohammad Naiyer Alam,Mohammad Naiyer Alam
KSP,Good Practice,,"Good Practice
TBT has been conducted together with 
site supervisors regarding Healty Ramzan",Good Practice,Good Practice,Will be Continued with the  same approach. Must to maintain the same with deferent TBT topics  related to ongoing activity’s.,Good Practice,21494,2026-02-16 22:35:11,2026-02-16 22:35:14,FF-HSE-0501,Ali Elzekaity,Ali Elzekaity
KSP,Housekeeping,,Found Improper Materials Arrangement ,Unsafe Condition,Low,Materials has been properly Arranged,Closed,21494,2026-02-16 22:50:51,2026-02-16 22:50:54,FF-HSE-0501,Ali Elzekaity,Ali Elzekaity
WELLNESS,Electrical,,Cable drum found connected to DB without industrial plug,Unsafe Act&Unsafe Condition,Medium,Industrial plug provided,Closed,25239,2026-02-16 22:51:03,2026-02-16 22:51:04,FF-HSE-0501,Mohammad Naiyer Alam,Mohammad Naiyer Alam
WELLNESS,Others,Tripping ,"Poor cable management observed in the access area
",Unsafe Condition,Medium,Rectified,Closed,25239,2026-02-16 22:59:19,2026-02-16 22:59:21,FF-HSE-0501,Mohammad Naiyer Alam,Mohammad Naiyer Alam
WELLNESS,Housekeeping,,"Poor housekeeping was observed inside the family hotel
",Unsafe Condition,Low,Housekeeping done,Closed,25239,2026-02-16 23:00:36,2026-02-16 23:00:38,FF-HSE-0501,Mohammad Naiyer Alam,Mohammad Naiyer Alam
Al-Qiddya Hotels,Electrical,,Observed Cable drum being used have damaged wire and improperly jointed.,Unsafe Condition,High,The damaged cable drum was immediately removed from site. An appropriate industrial plug was used and safely connected directly to the main DB with proper earthing and protection to ensure safe power supply.,Closed,20433,2026-02-16 23:40:35,2026-03-02 00:27:24,FF-HSE-0501,Abid Khitab,Abid Khitab
Al-Qiddya Hotels,Electrical,,"It was observed that there was no lighting on the staircase area. This creates a serious safety hazard as workers may not see the steps clearly, increasing the risk of slips, trips, and falls—especially during low-visibility conditions.",Unsafe Condition,Medium,Stairscase light installed ,Closed,20433,2026-02-16 23:44:56,2026-02-16 23:45:01,FF-HSE-0501,Abid Khitab,Abid Khitab
ADF,Fall Protection,Barricade & Signs,"Observed an unsecured cable trench opening while people were working above the trench, which could lead to the risk of falling into the trench and related personnel injuries.",Unsafe Condition,High,"The area was immediately secured with proper barricading and warning signage, and safe access routes were provided and tool box talk conducted to the team.",Closed,14832,2026-02-17 00:14:01,2026-02-17 00:14:01,FF-HSE-0501,MD Fahad,MD Fahad
ADF,Others,Poor Lighting,"Found the ducting team performing cladding work while there was poor illumination in the work area, posing the risk of slip, trip, and fall injuries due to poor visibility.",Unsafe Act&Unsafe Condition,Medium,Work was temporarily stopped until adequate lighting was provided to improve visibility. Workers were instructed to report low-light conditions.,Closed,14471,2026-02-17 00:38:03,2026-02-17 00:38:03,FF-HSE-0501,MD Fahad,MD Fahad
ADF,PPE,Work at height,"Found the electrical team performing work at height for cable pulling while one worker was not anchored with a full body harness, which could lead to a serious fall-from-height incident.",Unsafe Act,High,The activity was stopped immediately and the worker was instructed to properly anchor the full body harness and work at height tbt were conducted for the team.,Closed,12362,2026-02-17 00:46:34,2026-02-17 00:46:34,FF-HSE-0501,MD Fahad,MD Fahad
ADF,PPE,,"Observed the electrical team involved in cable pulling work at height while a person working below the activity was not wearing a hard hat, creating the risk of head injury from falling tools or materials, serious injury due to dropped objects from height.",Unsafe Act,High,Toolbox talk was conducted to reinforce the importance of wearing head protection and supervisors were instructed to enforce exclusion zones and continuous PPE monitoring.,Closed,21137,2026-02-17 00:54:57,2026-02-17 00:54:57,FF-HSE-0501,MD Fahad,MD Fahad
KSP,Housekeeping,,Found the unwanted materials. ,Unsafe Condition,Low,Removed the materials. ,Closed,19470,2026-02-17 01:32:10,2026-02-17 01:32:14,FF-HSE-0501,Muhammad Saleem,Muhammad Saleem
KSP,Others,Materials Management ,Poor materials maywas observed by ducting team at National Theater level 03 north side scaffolding platform.,Unsafe Condition,Low,Engineer and supervisor were informed to assign the team to conduct proper materials management which they complied.,Closed,10398,2026-02-17 01:33:32,2026-02-17 01:34:17,FF-HSE-0501,Waqar Anwar,Waqar Anwar
KSP,Permit to Work,,The permit was not kept properly at the site.,Unsafe Act,Low,The workers were instructed to always keep the permit in the permit box.,Closed,19470,2026-02-17 01:35:07,2026-02-17 01:35:09,FF-HSE-0501,Muhammad Saleem,Muhammad Saleem
KSP,Others,Materials Management ,Unwanted electrical cables were observed at National Theater level 02 Teramix.,Unsafe Condition,Low,Electrical Engineer and Supervisor were informed to assign the team to shift the unwanted cables to main store which they complied.,Closed,23934,2026-02-17 01:36:36,2026-02-17 01:37:12,FF-HSE-0501,Waqar Anwar,Waqar Anwar
KSP,Good Practice,,HSE housekeeping team conducted housekeeping at National Theater level 03 south side.,Good Practice,Good Practice,,Good Practice,23934,2026-02-17 01:39:12,2026-02-17 01:39:34,FF-HSE-0501,Waqar Anwar,Waqar Anwar
Al-Qiddya Hotels,Fire Protection,,It was observed that there is no separate designated area available for chemical storage. Chemicals are currently being stored in a common area along with other materials.,Unsafe Condition,High,"COSHH Substance are
stored in a designated
storage area in accordance with COSHH
requirements",Closed,20433,2026-02-17 01:41:10,2026-04-08 04:20:53,FF-HSE-0501,Abid Khitab,Abid Khitab
KSP,Housekeeping,,Poor housekeeping was observed at National Theater level 02 which ducting team was conducting activity.,Unsafe Condition,Low,Foreman was informed to conduct proper housekeeping which he complied.,Closed,13577,2026-02-17 01:41:50,2026-02-17 01:42:00,FF-HSE-0501,Waqar Anwar,Waqar Anwar
KSP,Scaffolds,,"it was observed that the pipe fitting team was working on the scaffolding.But the scaffold was found to be incomplete. The horizontal braces, outtrigers and mid rails were missing.",Unsafe Act&Unsafe Condition,Low,Rectified ,Closed,19379,2026-02-17 02:34:19,2026-02-17 02:34:23,FF-HSE-0501,Ali Elzekaity,Ali Elzekaity
P06,Work at Height,,Observed that working on incomplete scaffold without using full body harness,Unsafe Act,Medium,After rectified ,Closed,24544,2026-02-17 03:54:59,2026-02-17 03:55:12,FF-HSE-0501,Tufail Saleh,Tufail Saleh
P06,Fall Protection,,Observed that working on scaffold without using full body harness,Unsafe Act,High,After using full body harness,Closed,24544,2026-02-17 03:57:31,2026-02-17 03:57:39,FF-HSE-0501,Tufail Saleh,Tufail Saleh
P06,Tools and Machines,,Observed that using grinder without safety guard and side handle,Unsafe Act,High,After fixed the safety guard and side handle,Closed,24544,2026-02-17 03:59:58,2026-02-17 04:00:35,FF-HSE-0501,Tufail Saleh,Tufail Saleh
P06,Fire Protection,,Reinspection carried out at site Fire points.,Good Practice,Good Practice,,Good Practice,24544,2026-02-17 04:04:20,2026-02-17 04:04:23,FF-HSE-0501,Tufail Saleh,Tufail Saleh
SEVEN,Scaffolds,,"The scaffolding was found without a toe board, which is a safety non-compliance and poses a risk of falling objects to workers. Zone 9",Unsafe Condition,Medium,Proper toe boards have been installed on the scaffolding in accordance with safety standards.,Closed,26083,2026-02-17 04:57:17,2026-02-17 04:57:18,FF-HSE-0501,Amjed Farooqi,Amjed Farooqi
SEVEN,Fire Protection,,"Observed that fire extinguisher was not available at the scissor lift, potentially the risk of fire hazards during performing activities of hot work or cutting. Zone 6 G",Unsafe Condition,Medium,Fire extinguisher provided on the scissor lift safety compliance verified.,Closed,26083,2026-02-17 04:59:14,2026-02-17 04:59:15,FF-HSE-0501,Amjed Farooqi,Amjed Farooqi
SEVEN,Electrical,,"The electrical cable is suspended downward, creating a potential tripping hazard that could result in a slip, trip, and fall incident. – Zone 4.",Unsafe Condition,Medium,The suspended electrical cable in Zone 4 has been rectified. The cable has been properly secured and routed to eliminate the tripping hazard.,Closed,26083,2026-02-17 05:00:48,2026-02-17 05:00:48,FF-HSE-0501,Amjed Farooqi,Amjed Farooqi
SEVEN,Electrical,,"Electrical cable was hanging across the passageway, creating a tripping and electrical hazard. FEC Roof

",Unsafe Condition,Medium,"The electrical cable has been lifted from the ground, properly secured, and routed safely to eliminate trip hazards and reduce the risk of electrical damage or electrocution.",Closed,26083,2026-02-17 05:02:30,2026-02-17 05:02:30,FF-HSE-0501,Amjed Farooqi,Amjed Farooqi
SEVEN,Others,Assigned Person,"
The scissor lift was operated by a worker without an assigned person present, which is not in compliance with safety requirements. Zone 8.
",Unsafe Condition,High,"An assigned attendant has been designated for scissor lift operations, and all personnel have been instructed to follow proper safety procedures.",Closed,26083,2026-02-17 05:04:01,2026-02-17 05:04:02,FF-HSE-0501,Amjed Farooqi,Amjed Farooqi
SEVEN,Scaffolds,,It was observed that the mobile scaffolding platform was installed without a toe board. This creates a falling object hazard and risk to workers working below. Zone 3 UGF,Unsafe Condition,Medium,Proper toe boards have been installed on the scaffolding in accordance with safety standards.,Closed,26083,2026-02-17 05:06:55,2026-02-17 05:06:56,FF-HSE-0501,Amjed Farooqi,Amjed Farooqi
Oceanarium,Work at Height,,Worker observed working at height using an unsecured portable ladder without proper stabilization,Unsafe Act,Medium,Ladder has been properly positioned and stabilized with a second worker assigned to hold and secure the ladder during activity,Closed,25411,2026-02-17 05:33:48,2026-02-17 05:34:39,FF-HSE-0501,Alavudheen Thodi,Alavudheen Thodi
MISK,Tools and Machines,," Power tools found at site without monthly color code and inspection. Posee the risk of electric shock, circuit or mechanical failure. ",Unsafe Condition,Medium,the power tools return to store for inspection. The responsible supervisor instructed to ensure the power tools inspected prior transferring to site. ,Closed,21102,2026-02-17 05:53:36,2026-02-17 05:53:39,FF-HSE-0501,Asim Khan,Asim Khan
MISK,Housekeeping,,"
 the First fix employee carried out electrical box installation activity while standing uneven and slippery surface poses the risk of falling or slipping from potential fall hazard. 
",Unsafe Act,Medium,Activity Suspend; proper housekeeping has been done. The responsible supervisor instructed to ensure housekeeping compliance to prevent of the potential hazard. ,Closed,26172,2026-02-17 05:54:51,2026-02-17 05:54:54,FF-HSE-0501,Asim Khan,Asim Khan
MISK,Others,Floor Opening,Floor opening observed at mezzanine floor posing the risk of materials falling from fall hazard.  ,Unsafe Condition,Medium,Floor opening properly covered to prevent of the potential hazards. ,Closed,26080,2026-02-17 05:56:31,2026-02-17 05:56:36,FF-HSE-0501,Asim Khan,Asim Khan
MISK,Tools and Machines,,The electrical cable attached to the non-insulated surface poses the risk of electrocution and potential damage to the cable.,Unsafe Condition,Medium,The responsible supervisor was informed to secure the cable away from non-insulated surfaces to prevent potential hazards. ,Closed,13108,2026-02-17 05:57:48,2026-02-17 05:57:59,FF-HSE-0501,Asim Khan,Asim Khan
MISK,Fire Protection,,Various materials were found lying improperly in front of the fire hose reel instead of being placed in their designated storage area.,Unsafe Condition,Medium,Remove all materials from the front of fire hose reel immediately and store them properly in the designated area. ,Closed,12242,2026-02-17 05:59:34,2026-02-17 05:59:35,FF-HSE-0501,Asim Khan,Asim Khan
MISK,Housekeeping,,"Poor housekeeping was in the working area, with combustible materials scattered on the floor, creating a potential fire hazard. ",Unsafe Condition,Medium,Clean and organize the work area immediately. Store combustible materials properly in designated storage areas. ,Closed,12187,2026-02-17 06:00:42,2026-02-17 06:00:44,FF-HSE-0501,Asim Khan,Asim Khan
MISK,Housekeeping,,MEP materials were found stored in an unsafe and unorganized manner. The materials were not properly stored in the designated area.,Unsafe Condition,Medium,"Removed & stored all materials in the designated area, and barricaded to prevent movement of slip, trip, and fall hazard.",Closed,10223,2026-02-17 06:02:06,2026-02-17 06:02:11,FF-HSE-0501,Asim Khan,Asim Khan
Oceanarium,Scaffolds,,The electrical team members were observed working at height on an aluminium mobile scaffolding . During inspection it was identified that the scaffold was missing cross braing.,Unsafe Act&Unsafe Condition,High,"The cross bracing was installed, the scaffold was re-inspected by the scaffolding inspector and the team was instructed not to modify the scaffold without prior approval.",Closed,26257,2026-02-17 06:26:05,2026-02-17 06:26:09,FF-HSE-0501,Najmudheen Vayalilakath,Najmudheen Vayalilakath
Oceanarium,Fall Protection,,A mechanical team member was found working on a step ladder that was placed in an improper position,Unsafe Act&Unsafe Condition,Medium,The ladder was properly repositioned and the mechanical team member was briefed on correct ladder safety and proper usage.,Closed,25411,2026-02-17 06:33:37,2026-02-17 06:33:39,FF-HSE-0501,Najmudheen Vayalilakath,Najmudheen Vayalilakath
Oceanarium,PPE,,A mechanical team member was found drilling on the cealing with out wearing proper ppe.,Unsafe Act,Medium,The team member was provided with proper PPE and instructed to ensure all required PPE is available and worn before starting any activity.,Closed,25247,2026-02-17 06:39:06,2026-02-17 06:39:08,FF-HSE-0501,Najmudheen Vayalilakath,Najmudheen Vayalilakath
KSP,Permit to Work,,"It was observed that while signing the permit, the permit receiver’s signature was missing.",Unsafe Act,Low,The permit receiver was instructed to sign the permit to authorize the work as per the permit requirements.,Closed,19470,2026-02-17 20:40:23,2026-02-17 20:40:24,FF-HSE-0501,Muhammad Saleem,Muhammad Saleem
KSP,Electrical,,"During the work, it was observed that the lights went off, so the work was immediately stopped.",Unsafe Act&Unsafe Condition,Low,"After the lights were restored, permission was given to resume the work.",Closed,19470,2026-02-17 20:43:55,2026-02-17 20:43:56,FF-HSE-0501,Muhammad Saleem,Muhammad Saleem
ADF,Excavation / Edge Protection,,"Observed the mechanical team performing HDPE pipe installation while a worker was standing close to the edge of an excavation without maintaining a safe distance, creating a risk of falling into the excavation, edge collapse, and serious personal injury.",Unsafe Act,Medium,Vebal warning issued to the worker and conduct a toolbox talk on excavation safety.,Closed,14832,2026-02-17 21:43:28,2026-02-17 21:43:28,FF-HSE-0501,MD Fahad,MD Fahad
KSP,Excavation / Edge Protection,,observed    inadequately secured manhole along the road which could lead to potential hazards therefore to avoid any potential hazards as well as to ensure workers safety manholes must be  fully covered with strong enough material,Unsafe Condition,Medium,Proper cover has been installed,Closed,20493,2026-02-17 21:48:38,2026-02-17 21:48:40,FF-HSE-0501,Ali Elzekaity,Ali Elzekaity
ADF,Electrical,,"Observed the electrical infrastructure team using an extension cable drum with damaged insulation, creating a risk of electric shock, electrocution, short circuit, fire, and potential injury to workers.",Unsafe Condition,High,"The damaged extension cable drum, isolate and remove the defective cable from service, replace it with a properly insulated and inspected cable.",Closed,19876,2026-02-17 21:49:49,2026-02-17 21:49:49,FF-HSE-0501,MD Fahad,MD Fahad
KSP,Good Practice,,Conducted TBT To Civil Team Regurding Healty Ramzan,Good Practice,Good Practice,Maintain the same in different topic,Good Practice,20493,2026-02-17 21:50:08,2026-02-17 21:50:11,FF-HSE-0501,Ali Elzekaity,Ali Elzekaity
ADF,Fire Protection,Hot  Work,"Found HDPE welding work in progress while the available fire extinguisher was empty, creating a risk of uncontrolled fire escalation and delayed emergency response.",Unsafe Act&Unsafe Condition,Medium,Stop hot work immediately until a fully charged and inspected fire extinguisher is provided at the activity area.,Closed,21137,2026-02-17 21:57:28,2026-02-17 21:57:28,FF-HSE-0501,MD Fahad,MD Fahad
ADF,Housekeeping,,"Observed the plumbing team performing grinding and chipping work while concrete waste was scattered on the floor, creating a risk of slip, trip and fall injuries.",Unsafe Condition,Medium,"Instruct the team to stop work and immediately clean and remove all concrete debris from the work area, maintain proper housekeeping during the activity.",Closed,25825,2026-02-17 22:06:03,2026-02-17 22:06:03,FF-HSE-0501,MD Fahad,MD Fahad
KSP,Others,,observed that manhole outer cover is not install properly make sure after work outer over should be closed properly to avoid slip hazard ,Unsafe Condition,Low,out cover has been placed properly,Closed,25846,2026-02-17 22:44:49,2026-02-17 22:44:51,FF-HSE-0501,Ali Elzekaity,Ali Elzekaity
WELLNESS,Others,Blocked Access,Access found blocked by scaffold,Unsafe Condition,Medium,Access cleared,Closed,25233,2026-02-17 22:54:34,2026-02-17 22:55:01,FF-HSE-0501,Mohammad Naiyer Alam,Mohammad Naiyer Alam
WELLNESS,Others,Tripping ,Poor cable management was observed at the access to the LV,Unsafe Condition,Medium,Rectified,Closed,25239,2026-02-17 22:56:27,2026-02-17 22:56:33,FF-HSE-0501,Mohammad Naiyer Alam,Mohammad Naiyer Alam
WELLNESS,Tools and Machines,,"Grinder found without safety guard & handle 
",Unsafe Condition,Medium,Safety guard & handle installed,Closed,25239,2026-02-17 23:04:30,2026-02-17 23:04:35,FF-HSE-0501,Mohammad Naiyer Alam,Mohammad Naiyer Alam
WELLNESS,Environmental,,Beach cleanup campaign was conducted,Good Practice,Good Practice,,Good Practice,24857,2026-02-17 23:08:22,2026-02-17 23:08:27,FF-HSE-0501,Mohammad Naiyer Alam,Mohammad Naiyer Alam
WELLNESS,Housekeeping,,Poor housekeeping was observed beside the access,Unsafe Condition,Medium,Housekeeping done,Closed,25239,2026-02-17 23:10:27,2026-02-17 23:11:27,FF-HSE-0501,Mohammad Naiyer Alam,Mohammad Naiyer Alam
KSP,Good Practice,,Hard Barrication was done in front of Mechanical water tanks in National Theater Basement.,Good Practice,Good Practice,,Good Practice,21052,2026-02-18 00:03:14,2026-02-18 00:03:17,FF-HSE-0501,Waqar Anwar,Waqar Anwar
KSP,Good Practice,,Hard Barrication was done in front of Mechanical materials store in National Theater Basement.,Good Practice,Good Practice,,Good Practice,21052,2026-02-18 00:04:53,2026-02-18 00:05:00,FF-HSE-0501,Waqar Anwar,Waqar Anwar
KSP,Good Practice,,Hard Barrication was done in front of Electrical and Mechanical materials stores in National Theater Basement.,Good Practice,Good Practice,,Good Practice,21052,2026-02-18 00:06:39,2026-02-18 00:06:46,FF-HSE-0501,Waqar Anwar,Waqar Anwar
KSP,Barricades and Signs,,Found mechanical Store  without  Signage,Unsafe Condition,Low,Sinage  Displayed location besment 2 finger 15,Closed,21494,2026-02-18 00:09:15,2026-02-18 00:09:16,FF-HSE-0501,Ali Elzekaity,Ali Elzekaity
KSP,Good Practice,,Hard Barrication was done in front of Mechanical materials store in National Theater Basement.,Good Practice,Good Practice,,Good Practice,21052,2026-02-18 00:09:17,2026-02-18 00:09:23,FF-HSE-0501,Waqar Anwar,Waqar Anwar
KSP,Good Practice,,Hard Barrication was done in front of Electrical materials store in National Theater Basement.,Good Practice,Good Practice,,Good Practice,21052,2026-02-18 00:10:37,2026-02-18 00:10:40,FF-HSE-0501,Waqar Anwar,Waqar Anwar
KSP,Barricades and Signs,,All Materials has been properly arranged and put signage ,Good Practice,Good Practice,Maintain the same,Good Practice,21494,2026-02-18 00:11:55,2026-02-18 00:11:57,FF-HSE-0501,Ali Elzekaity,Ali Elzekaity
